title,duration_seconds,day_of_week,month,views_lifetime,subs_lifetime
49ers Update: Insider Says Brock Purdy Wants Dak Prescott Money – 60 Million?!,4812.0,4,2,1915.0,2.0
How The 49ers Should Start Rebuilding For Their 2025 Season... | Krueger & Bruce,5450.0,4,0,1914.0,0.0
Ugly 49ers Preseason Loss Raises Big Questions,5520.0,0,7,1913.0,7.0
49ers News: Purdy's Connection With Cowing & Pearsall - Big Trust In Brendel? - Mac Jones and More!,5997.0,5,5,1912.0,2.0
49ers Improve Major Weakness,3382.0,2,2,1908.0,2.0
Will The 49ers BEAT The Bears And Keep The Season Alive | Krueger & Bruce,5192.0,4,11,1893.0,0.0
49ers 2025 Schedule - The Final Puzzle Piece of 2025,2757.0,2,4,1886.0,4.0
FIRST Preview: 49ers vs Bears - Can Brock Purdy Out Duel The Chosen One | Krueger & Bruce,4623.0,2,11,1881.0,0.0
49ers WR Jauan Jennings Wants A New Deal - I Don't Blame Him,3444.0,1,6,1879.0,5.0
49ers Enter 2025 A Better Football Team - Guy Haberman join Damon,4251.0,1,4,1866.0,6.0
The Warriors Got Vibes,3171.0,2,1,1862.0,9.0
49ers Roll Into LA — Deep in the Depth Chart,3866.0,2,9,1854.0,2.0
Rivalry Uniforms Drop - What Did We Learn From Preseason? Damon & Sammy,5120.0,3,7,1852.0,0.0
49ers Shocking Draft Rumor at #11,3484.0,2,3,1852.0,5.0
ADVERSITY: Can The 49ers Win WITHOUT Brock Purdy And Key 49ers? | Krueger & Bruce,4926.0,5,10,1843.0,2.0
49ers Re-sign Their Leadership Core,2734.0,1,4,1841.0,5.0
The Skyy Moore Trade Left Me Disappointed in the 49ers - Damon & Sammy,5778.0,3,7,1840.0,0.0
"NFL Draft Trade Rumors: The Ripple Effect On The 49ers - Sanders, Warren, and More!",4385.0,5,3,1838.0,0.0
Full Pads Monday: 49ers Camp Is About to Get VIOLENT,3698.0,5,6,1826.0,1.0
NFL Source Skeptical of 49ers Extending Brock Purdy - Damon & Sammy,7150.0,3,3,1821.0,1.0
Brock Purdy Is 49ers to the Core - Damon & Sammy,5551.0,4,6,1812.0,4.0
Warriors In Critical GM 4 vs. Timberwolves,2977.0,1,4,1803.0,6.0
"Big Dreams, Raw Rookies: 49ers Walking a Fine Line in 2025",3226.0,0,7,1801.0,3.0
49ers Underdogs For First Time in 2024,3773.0,1,10,1799.0,3.0
Terrible End To Terrible 49ers Season,2444.0,0,0,1790.0,0.0
49ers Aren't As Bad As You Think - Merry Christmas,3812.0,3,11,1774.0,3.0
Purdy May Be Ready For Jacksonville,7040.0,3,8,1769.0,2.0
Round 2: Shanahan & Saleh — But For How Long,6043.0,1,7,1764.0,7.0
49ers Aftermath - How Far Can They Go Without Fred Warner?,4026.0,1,9,1760.0,2.0
The Eagles Super Bowl Blueprint – What the 49ers MUST Learn to Win It All!,5745.0,0,1,1760.0,3.0
"For Once, the Football Gods Are on the 49ers’ Side",3621.0,0,9,1756.0,4.0
49ers Season On The Brink,5190.0,3,10,1750.0,2.0
The 49ers Have to Flip the Switch FAST — Rams on TNF,4159.0,2,9,1742.0,6.0
REPORT: Gabe Davis Flies to Meet 49ers – Will SF Add the Deep Threat?,5891.0,1,4,1731.0,0.0
"49ers LATEST News - Brock Purdy Contract, The Tush-Push, Deommodore Lenoir Wins Award",5964.0,4,4,1729.0,3.0
49ers Defense Just Can’t Catch a Break — Bryce Huff Out 2 Weeks,3782.0,1,9,1728.0,4.0
"Warriors Lost Curry, But Won In Minnesota - Damon & Cyrus",6717.0,2,4,1723.0,4.0
"49ers Punt On Deadline Trade, Not The  Season",2475.0,2,10,1722.0,7.0
"49ers vs Seahawks: No More Talk, Just Football",2526.0,5,8,1719.0,2.0
49ers Front Office Should Still Be Thinking Big,3245.0,0,9,1714.0,3.0
FIRST Preview: 49ers vs Packers - Will Purdy Beat Love? | Krueger & Bruce,5665.0,3,10,1711.0,2.0
49ers Must End 2024 The Right Way,2692.0,0,11,1709.0,7.0
"49ers NFL Owners Meeting: John Lynch & Jed York Address Brock Purdy, Brandon Aiyuk, And Spending...",6441.0,1,3,1696.0,2.0
49ers Training Camp Should Include EVERYONE,3699.0,1,4,1693.0,7.0
Can Steph Curry End Houston In Game 5 - Warriors Weekly,3577.0,2,3,1683.0,11.0
49ers - Major Changes In Free Agency,3021.0,1,2,1683.0,2.0
"49ers Have A Big Seed, Possible Big Trade Up Next",3324.0,6,9,1671.0,2.0
49ers vs. Seahawks: The Key Matchups That Will Decide the Game,3317.0,2,8,1669.0,2.0
Why the Deebo Samuel Saga with the 49ers Is Likely Ending in a Release,6065.0,3,1,1658.0,4.0
The 49ers Sign Deommodore Lenoir To A 5-Year 92 Million Dollar Deal | Krueger & Bruce,4124.0,3,10,1648.0,5.0
"Shanahan, Purdy or Mykel? 49ers With The MOST To PROVE In 2025! - Krueger & Bruce",6768.0,1,5,1648.0,3.0
BREAKING: Brock Purdy No Trade Clause + Timeline & Fred Warner Close To Signing,5621.0,0,4,1641.0,2.0
REPORT: The 49ers Got Offered A 2nd Round Pick For George Kittle & Declined,5623.0,5,4,1637.0,4.0
49ers 10% Sale Will Reset NFL Franchise's Worth,4032.0,4,1,1635.0,3.0
Bill Belichick's Girl Is Suspect (At Best) - Damon & Sammy,5623.0,4,4,1634.0,-1.0
"Deadlines, Headlines, And Moves That Need To Happen - Damon & Lund",5373.0,5,7,1613.0,5.0
"49ers SIGN MVS, Search Scrap Heap For Help.",4968.0,2,7,1608.0,3.0
Don’t Ask Too Much of Mac Jones - Ethan Strauss joins Damon,4862.0,2,8,1604.0,-1.0
Steph Curry Gets WORST Whistle In NBA History,2675.0,4,1,1598.0,8.0
Purdy's Contract - What's The Big Deal?,3502.0,5,2,1586.0,7.0
Aiyuk Trade: Will The 49ers Move On From Their Top Wide Receiver?,6226.0,0,2,1565.0,4.0
NFL Free Agency Begins!,3374.0,0,2,1558.0,2.0
"Are the 49ers Missing One More Weapon at WR? Gabe Davis, Tyreek Hill Talk | Krueger & Bruce",5013.0,1,5,1555.0,0.0
George Kittle's Return is HUGE for 49ers,4915.0,5,9,1551.0,1.0
Jimmy Butler's Warriors Turnaround - Warriors Weekly w/ Damon & Cyrus,3462.0,3,2,1551.0,7.0
Super Bowl Shocker For the Ages,2853.0,0,1,1551.0,3.0
"49ers REVIEW: Who Stood Out At Training Camp? - Nick Martin, CJ West, Corey Kiner, Guerendo...",5645.0,1,6,1548.0,3.0
49ers Rebuild - Kyle Posey joins Damon,3165.0,5,0,1545.0,4.0
Mac Jones Shines In 49ers 2nd Win,4082.0,0,8,1545.0,4.0
49ers Catch FANTASTIC Schedule For Success - Damon & Sammy,6378.0,4,4,1543.0,1.0
Warriors Win - Bully Bucks - W's Weekly w Damon & Cyrus,5328.0,3,2,1525.0,3.0
Robert Saleh Is Favorite For Jaguar HC Job–Who Will Be The 49ers Next Defensive Coordinator?,5685.0,3,0,1522.0,-1.0
Faithful or Fickle? 49ers Fanbase Faces Its Ultimate Test,2873.0,5,8,1521.0,2.0
Are The 49ers Closing In A Contract With Brock Purdy? | Krueger & Bruce,6265.0,1,4,1507.0,2.0
The Super Bowl Is Set Chiefs vs Eagles – Can The 49ers Learn From Their Success?,6019.0,0,0,1502.0,0.0
It Begins Tomorrow: 49ers Camp Is HERE,4320.0,1,6,1495.0,3.0
Can 49ers Brock Purdy Beat The Seahawks AGAIN? | Krueger & Bruce,5747.0,5,10,1492.0,1.0
"Warriors Up, 49ers Got Better, Damon Is Back!",4914.0,1,3,1490.0,2.0
"UPDATE: Robert Saleh Is BACK And All 49ers NEWS - Brandon Aiyuk, Jake Moody, Coordinator Interviews",4586.0,5,4,1489.0,0.0
